Con1CD8,Ctrl_rep1,Ctrl
Con4CD8,Ctrl_rep2,Ctrl
G2CD8,G_rep1,G_mut
G3CD8,G_rep2,G_mut
N2CD8,N_rep1,N_mut
N3CD8,N_rep2,N_mut
